episodes,win rate,win rate easy,win rate medium,win rate hard
106000,0.27,0.6349206349206349,0.17567567567567569,0.015873015873015872
107000,0.215,0.5192307692307693,0.2,0.0
108000,0.23,0.5737704918032787,0.13043478260869565,0.02857142857142857
109000,0.325,0.6621621621621622,0.22033898305084745,0.04477611940298507
110000,0.27,0.6792452830188679,0.21794871794871795,0.014492753623188406
111000,0.26,0.47368421052631576,0.27906976744186046,0.017543859649122806
112000,0.27,0.6785714285714286,0.19736842105263158,0.014705882352941176
113000,0.29,0.6333333333333333,0.21518987341772153,0.04918032786885246
114000,0.335,0.7213114754098361,0.2597402597402597,0.04838709677419355
115000,0.295,0.5901639344262295,0.2911392405063291,0.0
116000,0.285,0.6290322580645161,0.2318840579710145,0.028985507246376812
117000,0.24,0.4603174603174603,0.21794871794871795,0.03389830508474576
118000,0.26,0.5873015873015873,0.16901408450704225,0.045454545454545456
119000,0.23,0.6031746031746031,0.11764705882352941,0.0
120000,0.325,0.7123287671232876,0.15714285714285714,0.03508771929824561
121000,0.26,0.5303030303030303,0.1917808219178082,0.04918032786885246
122000,0.3,0.6666666666666666,0.16049382716049382,0.02
123000,0.27,0.5964912280701754,0.20987654320987653,0.04838709677419355
124000,0.26,0.5873015873015873,0.203125,0.0273972602739726
125000,0.255,0.5862068965517241,0.19718309859154928,0.04225352112676056
126000,0.265,0.6428571428571429,0.16216216216216217,0.07142857142857142
127000,0.22,0.5172413793103449,0.17333333333333334,0.014925373134328358
128000,0.3,0.5757575757575758,0.2638888888888889,0.04838709677419355
129000,0.22,0.5238095238095238,0.12658227848101267,0.017241379310344827
130000,0.26,0.5285714285714286,0.1506849315068493,0.07017543859649122
131000,0.245,0.5178571428571429,0.2235294117647059,0.01694915254237288
132000,0.285,0.6470588235294118,0.17142857142857143,0.016129032258064516
133000,0.31,0.618421052631579,0.16901408450704225,0.05660377358490566
134000,0.3,0.65,0.2638888888888889,0.029411764705882353
135000,0.255,0.6379310344827587,0.2,0.0
136000,0.255,0.5,0.19444444444444445,0.034482758620689655
137000,0.265,0.5873015873015873,0.2,0.016129032258064516
138000,0.265,0.6666666666666666,0.15492957746478872,0.0
139000,0.27,0.6060606060606061,0.19444444444444445,0.0
140000,0.25,0.5166666666666667,0.21428571428571427,0.017857142857142856
141000,0.305,0.6029411764705882,0.28125,0.029411764705882353
142000,0.25,0.5714285714285714,0.2236842105263158,0.014705882352941176
143000,0.29,0.5454545454545454,0.2631578947368421,0.034482758620689655
144000,0.325,0.6571428571428571,0.26865671641791045,0.015873015873015872
145000,0.295,0.6206896551724138,0.2716049382716049,0.01639344262295082
146000,0.235,0.5333333333333333,0.1794871794871795,0.016129032258064516
147000,0.26,0.5230769230769231,0.2,0.05
148000,0.265,0.5757575757575758,0.19117647058823528,0.030303030303030304
149000,0.24,0.7142857142857143,0.13636363636363635,0.015873015873015872
150000,0.26,0.6349206349206349,0.14666666666666667,0.016129032258064516
151000,0.215,0.5882352941176471,0.12790697674418605,0.031746031746031744
152000,0.295,0.56,0.2328767123287671,0.0
153000,0.23,0.5483870967741935,0.12643678160919541,0.0196078431372549
154000,0.28,0.6610169491525424,0.18681318681318682,0.0
155000,0.295,0.6716417910447762,0.1625,0.018867924528301886
156000,0.275,0.59375,0.1875,0.03571428571428571
157000,0.225,0.5,0.15492957746478872,0.04477611940298507
158000,0.265,0.5797101449275363,0.1388888888888889,0.05084745762711865
159000,0.24,0.5230769230769231,0.2028985507246377,0.0
160000,0.275,0.660377358490566,0.2191780821917808,0.05405405405405406
161000,0.295,0.5652173913043478,0.25,0.0
162000,0.235,0.5901639344262295,0.11392405063291139,0.03333333333333333
163000,0.245,0.5454545454545454,0.1282051282051282,0.05357142857142857
164000,0.285,0.582089552238806,0.2125,0.018867924528301886
165000,0.33,0.6986301369863014,0.19402985074626866,0.03333333333333333
166000,0.265,0.543859649122807,0.24175824175824176,0.0
